256	1000	0.01264247
256	1000	0.01244517
256	1000	0.01264929
256	1000	0.01269604
256	1000	0.01314064
512	1000	0.01259299
512	1000	0.01273297
512	1000	0.01293150
512	1000	0.01252391
512	1000	0.01256977
1024	1000	0.01315708
1024	1000	0.01295808
1024	1000	0.01285862
1024	1000	0.01247652
1024	1000	0.01279614
2048	1000	0.01253905
2048	1000	0.01271236
2048	1000	0.01248829
2048	1000	0.01271323
2048	1000	0.01255930
4096	1000	0.01264952
4096	1000	0.01271041
4096	1000	0.01271143
4096	1000	0.01269688
4096	1000	0.01253882
8192	1000	0.01270020
8192	1000	0.01278866
8192	1000	0.01258138
8192	1000	0.01296144
8192	1000	0.01262685
16384	1000	0.01247983
16384	1000	0.01247400
16384	1000	0.01256840
16384	1000	0.01259869
16384	1000	0.01242514
32768	1000	0.01470438
32768	1000	0.01459335
32768	1000	0.01460139
32768	1000	0.01465429
32768	1000	0.01459148
65536	1000	0.02512763
65536	1000	0.02518265
65536	1000	0.02527343
65536	1000	0.02530451
65536	1000	0.02529450
131072	1000	0.04302248
131072	1000	0.04295977
131072	1000	0.04295600
131072	1000	0.04290512
131072	1000	0.04292957
262144	1000	0.07746121
262144	1000	0.07743515
262144	1000	0.07742560
262144	1000	0.07746465
262144	1000	0.07747529
524288	1000	0.14502715
524288	1000	0.14500667
524288	1000	0.14503851
524288	1000	0.14504609
524288	1000	0.14502181
1048576	1000	0.28370041
1048576	1000	0.28371224
1048576	1000	0.28368095
1048576	1000	0.28373966
1048576	1000	0.28370463
2097152	1000	0.56246046
2097152	1000	0.56249194
2097152	1000	0.56209139
2097152	1000	0.56244540
2097152	1000	0.56225692
4194304	1000	1.10933617
4194304	1000	1.10927136
4194304	1000	1.10929901
4194304	1000	1.10929194
4194304	1000	1.10962143
